patentid,assignee_name_current
US4567425A,General Electric Co
US4867065A,Rheinmetall Industrie Ag
US5697151A,General Electric Co
US4682112A,General Electric Co
US3856242A,General Electric Co
US3995349A,General Electric Co
US5526285A,Sabic Innovative Plastics Ip Bv
US7914250B2,General Electric Co
US4607183A,General Electric Co
US6527514B2,Ansaldo Energia Switzerland Ag
US5259724A,General Electric Co
US5308226A,General Electric Co
US5100484A,General Electric Co
US5591800A,Liquid Thermo Plastics Inc
US4304502A,Madeleine As Scil Agent Llc
US6016057A,General Electric Co
US4593245A,General Electric Co
US7295651B2,General Electric Co
US6104113A,Marathon Electric Manuf Corp
US6104113A,Regal Beloit America Inc
US6322777B1,General Electric Co
US6172327B1,General Electric Co
US4918831A,General Electric Co
US7910172B2,General Electric Co
US4009591A,General Electric Co
US2894155A,General Electric Co
US7693349B2,General Electric Co
US6476158B1,Sabic Global Technologies Bv
US6624441B2,Eaglepicher Technologies Llc
US4361375A,General Electric Co
US4361375A,Switchcraft Inc
US5378985A,General Electric Co
US6181228B1,General Electric Co
US5595460A,Tco Funding Corp
US5595460A,Tensar Corp Llc
US7312274B2,General Electric Co
US6898926B2,General Electric Co
US5336044A,General Electric Co
US7810333B2,General Electric Co
US7016469B2,General Electric Co
US5773141A,General Electric Co
US7230066B2,Sabic Global Technologies Bv
US5734256A,General Electric Co
US5474419A,General Electric Co
US6579687B1,Biosite Inc
US5745981A,General Electric Co
US6240719B1,General Electric Co
US5783989A,Boom Movement Llc
US5783989A,Dei International Inc
US5783989A,Polk Holding Corp
US5783989A,Viper Acquisition Corp
US5783989A,Viper Borrower Corp Inc
US5783989A,Polk Audio Llc
US5783989A,Dei Headquarters Inc
US5783989A,Dei Holdings Inc
US5783989A,Definitive Technology Llc
US5783989A,Dei Sales Inc
US5783989A,Viper Holdings Corp
US5783989A,Directed Llc
US4947221A,Intersil Corp
US4947221A,General Electric Co
US7258923B2,Sabic Global Technologies Bv
US5156882A,Sabic Innovative Plastics Ip Bv
US4138304A,General Electric Co
US6647390B2,General Electric Co
US4329630A,General Electric Co
US6379757B1,Sabic Innovative Plastics Ip Bv
US6546729B2,Ansaldo Energia Ip Uk Ltd
US6549214B1,General Electric Co
US3800530A,General Electric Co
US3868554A,General Electric Co
US5135427A,General Electric Capital Corp
US7620461B2,General Electric Co
US5681883A,General Electric Co
US7008558B2,General Electric Co
US7008558B2,Ge Medical Systems Global Technology Co Llc
US5481539A,General Electric Co
US3820176A,General Electric Co
US5954653A,General Electric Co
US10358035B2,General Electric Co
US3721948A,Trane Us Inc
US7252095B2,General Electric Co
US3937641A,Trane Us Inc
US5412280A,General Electric Co
US3938129A,General Electric Co
US6709944B1,General Electric Co
US3946554A,General Electric Co
US3955187A,Lxd Inc
US5367044A,General Electric Co
US5154884A,General Electric Co
US3813316A,General Electric Co
US7068750B2,General Electric Co
US7068750B2,Ge Medical Systems Global Technology Co Llc
US7009396B2,General Electric Co
US3853566A,General Electric Co
US3677072A,General Electric Co
US6996883B2,General Electric Co
US6996883B2,Parallel Design Inc
US6957949B2,General Electric Co
US4105826A,General Electric Co
US6884026B2,General Electric Co
US7581885B2,General Electric Co
US5378299A,Balloon Zone Wholesale Inc
US4048143A,General Electric Co
US2548886A,General Electric Co
US4801447A,General Electric Co
US4010636A,General Electric Co
US2329318A,General Electric X Ray Corp
US6415169B1,General Electric Co
US6851932B2,General Electric Co
US6208763B1,General Electric Co
US4584334A,General Electric Co
US8926287B2,General Electric Co
US4794544A,General Electric International Inc
US6630077B2,General Electric Co
US5994869A,General Electric Co
US4022547A,General Electric Co
